Symbol,Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (),Beta,R2,Volatility_Per,Monthly Return,Avg_Impact_Cost_percent,report_date
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,22324.79,0.74,1.08,0.23,1.58,12.89,0.06,2015-07-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,15239.72,0.61,1.02,0.32,2.08,-4.34,0.04,2016-02-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,21419.07,0.72,0.88,0.15,2.11,5.18,0.06,2015-05-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,20758.99,0.66,0.9,0.25,1.29,-5.67,0.03,2016-09-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,19919.77,0.63,0.86,0.24,1.08,-4.04,0.03,2016-10-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,18689.73,0.62,0.89,0.26,2.16,-6.17,0.04,2016-11-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,17905.41,0.62,0.97,0.33,1.98,-5.39,0.03,2016-04-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,16875.42,0.6,1.14,0.32,1.17,-0.02,0.03,2015-12-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,22006.43,0.68,0.84,0.23,1.35,-3.24,0.03,2016-08-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,18925.7,0.68,0.99,0.32,1.36,24.19,0.04,2016-03-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,19775.19,0.67,1.07,0.22,2,-7.67,0.06,2015-06-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,15832.92,0.59,1.13,0.32,1.47,-6.18,0.04,2016-01-01
BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,22742.85,0.72,0.9,0.28,1.3,10.28,0.03,2016-07-01
SIEMENS,Electrical Equipment,,"337,160,200",28190,0.95,0.9,0.4,3.15,-11.54,0.17,2008-01-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,13587,1.06,0.48,0.25,2.98,-5.89,0.08,2009-08-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18571,1.13,0.508534154,0.105368281,2.619385412,4.488590604,0.06,2012-02-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,21390,1.13,0.36,0.17,2.19,15.21,0.07,2009-03-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,32209.1,1.06,0.87,0.19,1.6,-6.31,0.04,2015-02-01
